"","Subject","Group","Block","ColorTMS.Block.","Confidence.RESP.Block.","correctResponseButton","correctRT.Block.","GrayTMS.Block.","leftStimulus.Block.","Number.Block.","NumberResponse.Block.","PracticeList","PracticeList.Cycle","PracticeList.Sample","Reaction.RT.Block.","Response.RESP.Block.","ResponseAccuracy.Block.","responseHand","rightStimulus.Block.","Running.Block.","StimulusColor.Block.","TMS","Trial","Hemisphere","Procedure.Trial.","Running.Trial.","SubTrial","CenterColorList","CenterColorList.Cycle","CenterColorList.Sample","LeftColorList","LeftColorList.Cycle","LeftColorList.Sample","Procedure.SubTrial.","RightColorList","RightColorList.Cycle","RightColorList.Sample","Running.SubTrial.","StimulusColor.SubTrial.","VariOhje","VariOhje2","LogLevel5","CenterTrialList","CenterTrialList.Cycle","CenterTrialList.Sample","ColorTMS.LogLevel5.","Confidence.RESP.LogLevel5.","correctRT.LogLevel5.","GrayTMS.LogLevel5.","leftStimulus.LogLevel5.","LeftTrialList","LeftTrialList.Cycle","LeftTrialList.Sample","Number.LogLevel5.","NumberResponse.LogLevel5.","Procedure.LogLevel5.","Reaction.RT.LogLevel5.","Response.RESP.LogLevel5.","ResponseAccuracy.LogLevel5.","rightStimulus.LogLevel5.","RightTrialList","RightTrialList.Cycle","RightTrialList.Sample","Running.LogLevel5.","virhe","expTrial","virhe.edellinen"
"3185","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",45,NA,NA,NA,0,4,257,1,1,1,2,105,"1",1,"LeftTrialProc",241,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3188","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",48,NA,NA,NA,1,4,283,0,1,3,2,108,"2",1,"LeftTrialProc",267,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3189","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",49,NA,NA,NA,1,4,262,0,1,3,2,109,"2",1,"LeftTrialProc",245,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3190","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",50,NA,NA,NA,0,4,293,1,1,1,2,110,"1",1,"LeftTrialProc",276,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3191","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",51,NA,NA,NA,0,4,330,1,1,1,2,111,"1",1,"LeftTrialProc",313,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3193","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",53,NA,NA,NA,1,4,286,0,1,3,2,113,"2",1,"LeftTrialProc",269,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3194","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",54,NA,NA,NA,1,4,280,0,1,3,2,114,"2",1,"LeftTrialProc",263,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3197","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",57,NA,NA,NA,0,4,438,1,1,1,2,117,"1",1,"LeftTrialProc",422,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3199","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",59,NA,NA,NA,1,4,314,0,1,3,2,119,"2",1,"LeftTrialProc",297,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3200","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",2,NA,NA,NA,2,1,2,"LeftColorProc",NA,NA,NA,"LeftColorList","Blue","SINISEN","sini",60,NA,NA,NA,0,4,254,1,1,1,2,120,"1",1,"LeftTrialProc",237,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3322","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",2,NA,NA,NA,0,4,299,1,0,NA,NA,NA,"1",1,"RightTrialProc",282,1,1,1,2,1,2,"RightTrialList",0,1,0
"3323","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",3,NA,NA,NA,0,4,272,1,0,NA,NA,NA,"1",1,"RightTrialProc",255,1,1,1,2,1,3,"RightTrialList",0,1,0
"3328","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",8,NA,NA,NA,0,4,331,1,0,NA,NA,NA,"1",1,"RightTrialProc",314,1,1,1,2,1,8,"RightTrialList",0,1,0
"3329","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",9,NA,NA,NA,0,4,270,1,0,NA,NA,NA,"1",1,"RightTrialProc",253,1,1,1,2,1,9,"RightTrialList",0,1,0
"3330","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",10,NA,NA,NA,0,4,275,1,0,NA,NA,NA,"1",1,"RightTrialProc",258,1,1,1,2,1,10,"RightTrialList",0,1,0
"3338","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",18,NA,NA,NA,1,4,304,0,1,NA,NA,NA,"2",1,"RightTrialProc",288,1,0,1,3,1,18,"RightTrialList",0,1,0
"3349","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",29,NA,NA,NA,1,4,320,0,1,NA,NA,NA,"2",1,"RightTrialProc",303,1,0,1,3,1,29,"RightTrialList",0,1,0
"3378","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",58,NA,NA,NA,1,4,258,0,1,NA,NA,NA,"2",1,"RightTrialProc",242,1,0,1,3,1,58,"RightTrialList",0,1,0
"3380","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",1,NA,NA,NA,NA,NA,NA,"RightColorProc",1,1,1,"RightColorList","Red","PUNAISEN","punai",60,NA,NA,NA,0,4,259,1,0,NA,NA,NA,"1",1,"RightTrialProc",242,1,1,1,2,1,60,"RightTrialList",0,1,0
"3384","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",4,NA,NA,NA,0,4,322,1,0,NA,NA,NA,"1",1,"RightTrialProc",305,1,1,1,2,2,64,"RightTrialList",0,1,0
"3387","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",7,NA,NA,NA,0,4,271,1,0,NA,NA,NA,"1",1,"RightTrialProc",255,1,1,1,2,2,67,"RightTrialList",0,1,0
"3390","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",10,NA,NA,NA,0,4,296,1,0,NA,NA,NA,"1",1,"RightTrialProc",279,1,1,1,2,2,70,"RightTrialList",0,1,0
"3391","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",11,NA,NA,NA,0,4,331,1,0,NA,NA,NA,"1",1,"RightTrialProc",314,1,1,1,2,2,71,"RightTrialList",0,1,0
"3394","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",14,NA,NA,NA,0,4,312,1,0,NA,NA,NA,"1",1,"RightTrialProc",295,1,1,1,2,2,74,"RightTrialList",0,1,0
"3395","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",15,NA,NA,NA,0,4,306,1,0,NA,NA,NA,"1",1,"RightTrialProc",289,1,1,1,2,2,75,"RightTrialList",0,1,0
"3401","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",21,NA,NA,NA,0,4,301,1,0,NA,NA,NA,"1",1,"RightTrialProc",284,1,1,1,2,2,81,"RightTrialList",0,1,0
"3405","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",25,NA,NA,NA,0,4,365,1,0,NA,NA,NA,"1",1,"RightTrialProc",348,1,1,1,2,2,85,"RightTrialList",0,1,0
"3407","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",27,NA,NA,NA,0,4,301,1,0,NA,NA,NA,"1",1,"RightTrialProc",284,1,1,1,2,2,87,"RightTrialList",0,1,0
"3409","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",29,NA,NA,NA,0,4,304,1,0,NA,NA,NA,"1",1,"RightTrialProc",287,1,1,1,2,2,89,"RightTrialList",0,1,0
"3412","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",32,NA,NA,NA,0,4,383,1,0,NA,NA,NA,"1",1,"RightTrialProc",366,1,1,1,2,2,92,"RightTrialList",0,1,0
"3414","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",34,NA,NA,NA,0,4,315,1,0,NA,NA,NA,"1",1,"RightTrialProc",298,1,1,1,2,2,94,"RightTrialList",0,1,0
"3417","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",37,NA,NA,NA,0,4,348,1,0,NA,NA,NA,"1",1,"RightTrialProc",331,1,1,1,2,2,97,"RightTrialList",0,1,0
"3420","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",40,NA,NA,NA,0,4,296,1,0,NA,NA,NA,"1",1,"RightTrialProc",279,1,1,1,2,2,100,"RightTrialList",0,1,0
"3421","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",41,NA,NA,NA,0,4,306,1,0,NA,NA,NA,"1",1,"RightTrialProc",289,1,1,1,2,2,101,"RightTrialList",0,1,0
"3422","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",42,NA,NA,NA,0,4,276,1,0,NA,NA,NA,"1",1,"RightTrialProc",259,1,1,1,2,2,102,"RightTrialList",0,1,0
"3423","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",43,NA,NA,NA,0,4,282,1,0,NA,NA,NA,"1",1,"RightTrialProc",266,1,1,1,2,2,103,"RightTrialList",0,1,0
"3428","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",48,NA,NA,NA,0,4,288,1,0,NA,NA,NA,"1",1,"RightTrialProc",272,1,1,1,2,2,108,"RightTrialList",0,1,0
"3430","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",50,NA,NA,NA,0,4,345,1,0,NA,NA,NA,"1",1,"RightTrialProc",328,1,1,1,2,2,110,"RightTrialList",0,1,0
"3436","5",1,41,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIKEAA",NA,"ResponseHandList","",1,3,"Right","RightHemiProc","HemiList",2,NA,NA,NA,NA,NA,NA,"RightColorProc",2,1,2,"RightColorList","Blue","SINISEN","sini",56,NA,NA,NA,0,4,293,1,0,NA,NA,NA,"1",1,"RightTrialProc",276,1,1,1,2,2,116,"RightTrialList",0,1,0
"3442","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",2,NA,NA,NA,1,4,257,0,1,3,3,122,"2",1,"LeftTrialProc",240,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3444","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",4,NA,NA,NA,0,4,312,1,1,1,3,124,"1",1,"LeftTrialProc",295,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3445","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",5,NA,NA,NA,0,4,265,1,1,1,3,125,"1",1,"LeftTrialProc",248,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3446","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",6,NA,NA,NA,1,4,266,0,1,3,3,126,"2",1,"LeftTrialProc",249,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3447","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",7,NA,NA,NA,0,4,254,1,1,1,3,127,"1",1,"LeftTrialProc",237,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3451","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",11,NA,NA,NA,0,4,315,1,1,1,3,131,"1",1,"LeftTrialProc",298,1,1,0,NA,NA,NA,"LeftTrialList",0,1,1
"3453","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",13,NA,NA,NA,1,4,301,0,1,3,3,133,"2",1,"LeftTrialProc",284,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3454","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",14,NA,NA,NA,1,4,296,0,1,3,3,134,"2",1,"LeftTrialProc",279,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3455","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",15,NA,NA,NA,1,4,305,0,1,3,3,135,"2",1,"LeftTrialProc",288,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3456","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",16,NA,NA,NA,0,4,288,1,1,1,3,136,"1",1,"LeftTrialProc",271,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3458","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",18,NA,NA,NA,1,4,331,0,1,3,3,138,"2",1,"LeftTrialProc",314,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3459","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",19,NA,NA,NA,1,4,365,0,1,3,3,139,"2",1,"LeftTrialProc",348,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3460","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",20,NA,NA,NA,1,4,312,0,1,3,3,140,"2",1,"LeftTrialProc",295,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3468","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",28,NA,NA,NA,1,4,315,0,1,3,3,148,"2",1,"LeftTrialProc",298,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3471","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",31,NA,NA,NA,1,4,283,0,1,3,3,151,"2",1,"LeftTrialProc",266,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3474","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",34,NA,NA,NA,0,4,257,1,1,1,3,154,"1",1,"LeftTrialProc",240,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
"3477","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",37,NA,NA,NA,0,4,269,1,1,1,3,157,"1",1,"LeftTrialProc",252,1,1,0,NA,NA,NA,"LeftTrialList",0,1,1
"3478","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",38,NA,NA,NA,1,4,261,0,1,3,3,158,"2",1,"LeftTrialProc",244,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3479","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",39,NA,NA,NA,1,4,267,0,1,3,3,159,"2",1,"LeftTrialProc",251,1,0,1,NA,NA,NA,"LeftTrialList",0,1,0
"3481","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",41,NA,NA,NA,1,4,313,0,1,3,3,161,"2",1,"LeftTrialProc",296,1,0,1,NA,NA,NA,"LeftTrialList",0,1,1
"3482","5",1,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VASENTA",NA,"ResponseHandList","",1,1,"Left","LeftHemiProc","HemiList",1,NA,NA,NA,1,2,3,"LeftColorProc",NA,NA,NA,"LeftColorList","Red","PUNAISEN","punai",42,NA,NA,NA,0,4,279,1,1,1,3,162,"1",1,"LeftTrialProc",262,1,1,0,NA,NA,NA,"LeftTrialList",0,1,0
